,Player_Name,Country,Rookie_year,Retirement_year,Matches,Inns,Not_outs,Total_Runs_in_Career,Highest_Score,Average_Score,Balls_Faced,Strike_Rate,100,50,0,4s,6s,Highest_Score_Not_out,Retired_or_not
0,SR Tendulkar ,IND,1989,2013,200,329,33,15921,248,53.78,29437,54.04,51,68,14,2058,69,1,0
1,RT Ponting ,AUS,1995,2012,168,287,29,13378,257,51.85,22782,58.72,41,62,17,1509,73,0,0
2,JH Kallis ,ICC/SA,1995,2013,166,280,40,13289,224,55.37,28903,45.97,45,58,16,1488,97,0,0
3,R Dravid ,ICC/IND,1996,2012,164,286,32,13288,270,52.31,31258,42.51,36,63,8,1654,21,0,0
4,AN Cook ,ENG,2006,2018,161,291,16,12472,294,45.35,26562,46.95,33,57,9,1442,11,0,0
5,KC Sangakkara ,SL,2000,2015,134,233,17,12400,319,57.4,22882,54.19,38,52,11,1491,51,0,0
6,BC Lara ,ICC/WI,1990,2006,131,232,6,11953,400,52.88,19753,60.51,34,48,17,1559,88,1,0
7,S Chanderpaul ,WI,1994,2015,164,280,49,11867,203,51.37,27395,43.31,30,66,15,1285,36,1,0
8,DPMD Jayawardene ,SL,1997,2014,149,252,15,11814,374,49.84,22959,51.45,34,50,15,1387,61,0,0
9,JE Root ,ENG,2012,2023,135,247,20,11416,254,50.29,20113,56.75,30,60,12,1247,43,0,0
10,AR Border ,AUS,1978,1994,156,265,44,11174,205,50.56,27002,41.09,27,63,11,1161,28,0,0
11,SR Waugh ,AUS,1985,2004,168,260,46,10927,200,51.06,22461,48.64,32,50,22,1175,20,0,0
12,SM Gavaskar ,IND,1971,1987,125,214,16,10122,236,51.12,14184,43.35,34,45,12,908,26,1,0
13,Younis Khan ,PAK,2000,2017,118,213,19,10099,313,52.05,19375,52.12,34,33,19,1082,70,0,0
14,SPD Smith ,AUS,2010,2024,105,185,22,9472,239,58.11,17690,53.54,32,40,9,1038,53,0,1
15,HM Amla ,SA,2004,2019,124,215,16,9282,311,46.64,18573,49.97,28,41,13,1170,14,1,0
16,GC Smith ,ICC/SA,2002,2014,117,205,13,9265,277,48.25,15525,59.67,27,38,11,1165,24,0,0
17,GA Gooch ,ENG,1975,1995,118,215,6,8900,333,42.58,18075,49.23,20,46,13,1079,25,0,0
18,V Kohli ,IND,2011,2024,113,190,11,8836,254,49.36,15913,55.52,29,30,14,989,26,1,1
19,Javed Miandad ,PAK,1976,1993,124,189,21,8832,280,52.57,15164,45.99,23,43,6,788,48,1,0
20,Inzamam-ul-Haq ,ICC/PAK,1992,2007,120,200,22,8830,329,49.6,16345,54.02,25,46,15,1105,48,0,0
21,VVS Laxman ,IND,1996,2012,134,225,34,8781,281,45.97,17785,49.37,17,56,14,1135,5,0,0
